date,series_id,cost,orders,impressions,clicks
2021-03-05,Sparklight|Paid Search|Nonbrand CableOne FP,1512.15653475962,3.0,3445.0,122.0
2021-03-05,Sparklight|Paid Search|Nonbrand NewWave FP,3154.74815943352,3.0,12972.0,562.0
2021-03-05,Sparklight|Paid Social|CableOne FP,1033.26740584673,2.0,100177.0,163.0
2021-03-05,Sparklight|Paid Social|NewWave FP,754.034896615087,2.0,96073.0,208.0
2021-03-06,Cable One|Paid Search|Brand,456.271396025358,6.0,2696.0,558.0
2021-03-06,NewWave|Paid Search|Brand,1078.47553252662,13.0,4298.0,1007.0
2021-03-06,Sparklight|Paid Search|Brand,1752.42395732848,17.0,6420.0,1843.0
2021-03-06,Sparklight|Paid Search|Nonbrand CableOne FP,1293.33308043559,1.0,3445.0,107.0
2021-03-06,Sparklight|Paid Search|Nonbrand NewWave FP,2881.8499657511,3.0,13096.0,530.0
2021-03-06,Sparklight|Paid Social|CableOne FP,1031.59866582808,2.0,100301.0,170.0
2021-03-06,Sparklight|Paid Social|NewWave FP,631.490117564398,2.0,87534.0,179.0
2021-03-07,Cable One|Paid Search|Brand,411.08388313134,5.0,2660.0,543.0
2021-03-07,NewWave|Paid Search|Brand,1054.28831348077,12.0,4134.0,998.0
2021-03-07,Sparklight|Paid Search|Brand,1748.63582827198,17.0,6511.0,1836.0
2021-03-07,Sparklight|Paid Search|Nonbrand CableOne FP,1158.36843114267,3.0,3949.0,97.0
2021-03-07,Sparklight|Paid Search|Nonbrand NewWave FP,2787.90817116855,3.0,12930.0,518.0
2021-03-07,Sparklight|Paid Social|CableOne FP,1008.43563105195,2.0,102386.0,179.0
2021-03-07,Sparklight|Paid Social|NewWave FP,623.813758559838,2.0,91917.0,167.0
2021-03-08,Cable One|Paid Search|Brand,814.550365749684,11.0,2818.0,614.0
2021-03-08,NewWave|Paid Search|Brand,1191.29041419367,13.0,4298.0,1161.0
2021-03-08,Sparklight|Paid Search|Brand,2060.5368952548,25.0,6914.0,2528.0
2021-03-08,Sparklight|Paid Search|Nonbrand CableOne FP,1628.63736041555,1.0,3445.0,125.0
2021-03-08,Sparklight|Paid Search|Nonbrand NewWave FP,2410.60568882999,3.0,12017.0,469.0
2021-03-08,Sparklight|Paid Social|CableOne FP,1005.59211198462,1.0,106179.0,179.0
2021-03-08,Sparklight|Paid Social|NewWave FP,577.586769959904,2.0,59623.0,137.0
2021-03-09,Cable One|Paid Search|Brand,833.01487931665,9.0,2954.0,648.0
2021-03-09,NewWave|Paid Search|Brand,1081.70631892294,13.0,4298.0,1084.0
2021-03-09,Sparklight|Paid Search|Brand,1840.89462729883,18.0,6250.0,2119.0
2021-03-09,Sparklight|Paid Search|Nonbrand CableOne FP,1460.07417827036,1.0,3445.0,111.0
2021-03-09,Sparklight|Paid Search|Nonbrand NewWave FP,2600.6250236276,3.0,12269.0,492.0
2021-03-09,Sparklight|Paid Social|CableOne FP,943.083470582585,2.0,93767.0,172.0
2021-03-09,Sparklight|Paid Social|NewWave FP,572.746213467385,2.0,59517.0,123.0
2021-03-10,Cable One|Paid Search|Brand,741.337477493959,9.0,2793.0,598.0
2021-03-10,NewWave|Paid Search|Brand,1586.33919207595,13.0,4298.0,1499.0
2021-03-10,Sparklight|Paid Search|Brand,2612.7643475906398,20.0,9053.0,2791.0
2021-03-10,Sparklight|Paid Search|Nonbrand CableOne FP,1533.06962172274,1.0,3445.0,121.0
2021-03-10,Sparklight|Paid Search|Nonbrand NewWave FP,2304.22371443622,3.0,11806.0,455.0
2021-03-10,Sparklight|Paid Social|CableOne FP,641.981971191323,2.0,66733.0,131.0
2021-03-10,Sparklight|Paid Social|NewWave FP,507.031727219027,2.0,54402.0,108.0
2021-03-11,Cable One|Paid Search|Brand,660.711013255658,8.0,2663.0,556.0
2021-03-11,NewWave|Paid Search|Brand,1560.55309588788,13.0,4298.0,1490.0
2021-03-11,Sparklight|Paid Search|Brand,2412.68173236143,23.0,8457.0,2772.0
2021-03-11,Sparklight|Paid Search|Nonbrand CableOne FP,1499.50612254935,1.0,3445.0,121.0
2021-03-11,Sparklight|Paid Search|Nonbrand NewWave FP,2122.79340974448,3.0,11513.0,432.0
2021-03-11,Sparklight|Paid Social|CableOne FP,424.011009370747,2.0,34420.0,78.0
2021-03-11,Sparklight|Paid Social|NewWave FP,428.515487932634,2.0,49299.0,91.0
2021-03-12,Cable One|Paid Search|Brand,635.449737865555,9.0,2681.0,557.0
2021-03-12,NewWave|Paid Search|Brand,1471.64208148391,13.0,4298.0,1430.0
2021-03-12,Sparklight|Paid Search|Brand,2296.62292856375,23.0,8155.0,2791.0
2021-03-12,Sparklight|Paid Search|Nonbrand CableOne FP,1426.86789394177,3.0,3445.0,117.0
2021-03-12,Sparklight|Paid Search|Nonbrand NewWave FP,2168.3053390181,3.0,11552.0,437.0
2021-03-12,Sparklight|Paid Social|CableOne FP,421.569812976825,2.0,34420.0,75.0
2021-03-12,Sparklight|Paid Social|NewWave FP,441.112765096932,2.0,48070.0,81.0
2021-03-13,Cable One|Paid Search|Brand,471.686409712827,5.0,2711.0,561.0
2021-03-13,NewWave|Paid Search|Brand,1080.60616415407,13.0,4298.0,1007.0
2021-03-13,Sparklight|Paid Search|Brand,1718.05134471392,17.0,6349.0,1690.0
2021-03-13,Sparklight|Paid Search|Nonbrand CableOne FP,1522.89718962861,3.0,3089.0,132.0
2021-03-13,Sparklight|Paid Search|Nonbrand NewWave FP,1793.17081120594,2.0,11526.0,392.0
2021-03-13,Sparklight|Paid Social|CableOne FP,469.093164658994,2.0,38160.0,80.0
2021-03-13,Sparklight|Paid Social|NewWave FP,453.116544676584,2.0,46578.0,79.0
2021-03-14,Cable One|Paid Search|Brand,450.031668856575,6.0,2739.0,564.0
2021-03-14,NewWave|Paid Search|Brand,1086.71916657102,13.0,4298.0,1023.0
2021-03-14,Sparklight|Paid Search|Brand,1648.62098304372,17.0,6210.0,1690.0
2021-03-14,Sparklight|Paid Search|Nonbrand CableOne FP,1501.54053284465,3.0,3949.0,133.0
2021-03-14,Sparklight|Paid Search|Nonbrand NewWave FP,2091.22735259794,2.0,11936.0,430.0
2021-03-14,Sparklight|Paid Social|CableOne FP,438.105782466439,2.0,36629.0,80.0
